review_id,product_id,customer_id,order_id,rating,review_date
REV00001,PROD0247,CUST0002,ORD00002,4,2024-09-21
REV00002,PROD0247,CUST0003,ORD00004,2,2023-12-22
REV00003,PROD0060,CUST0004,ORD00009,4,2024-05-12
REV00004,PROD0036,CUST0004,ORD00012,4,2024-06-03
REV00005,PROD0069,CUST0004,ORD00013,1,2024-12-31
REV00006,PROD0031,CUST0004,ORD00014,4,2024-02-22
REV00007,PROD0267,CUST0004,ORD00017,5,2024-01-16
REV00008,PROD0244,CUST0008,ORD00024,4,2023-09-28
REV00009,PROD0189,CUST0008,ORD00026,4,2023-11-08
REV00010,PROD0114,CUST0008,ORD00027,2,2024-11-16
REV00011,PROD0075,CUST0009,ORD00028,5,2023-10-14
REV00012,PROD0053,CUST0012,ORD00033,5,2024-06-29
REV00013,PROD0275,CUST0014,ORD00038,4,2024-11-30
REV00014,PROD0066,CUST0014,ORD00040,3,2024-08-21
REV00015,PROD0275,CUST0017,ORD00045,3,2023-07-17
REV00016,PROD0034,CUST0018,ORD00047,5,2024-01-04
REV00017,PROD0058,CUST0022,ORD00057,3,2024-10-23
REV00018,PROD0056,CUST0024,ORD00062,1,2024-08-04
REV00019,PROD0219,CUST0029,ORD00070,1,2024-07-15
REV00020,PROD0021,CUST0031,ORD00082,2,2024-07-17
REV00021,PROD0108,CUST0031,ORD00083,4,2024-07-16
REV00022,PROD0197,CUST0034,ORD00094,4,2024-04-16
REV00023,PROD0171,CUST0034,ORD00095,3,2023-11-09
REV00024,PROD0147,CUST0034,ORD00097,3,2024-06-06
REV00025,PROD0140,CUST0040,ORD00107,4,2024-11-06
REV00026,PROD0172,CUST0040,ORD00109,4,2024-08-20
REV00027,PROD0104,CUST0040,ORD00110,3,2023-10-02
REV00028,PROD0119,CUST0040,ORD00114,3,2023-07-12
REV00029,PROD0152,CUST0041,ORD00118,5,2023-05-24
REV00030,PROD0243,CUST0041,ORD00119,3,2024-02-18
REV00031,PROD0192,CUST0041,ORD00121,5,2023-06-26
REV00032,PROD0206,CUST0044,ORD00123,4,2024-04-06
REV00033,PROD0075,CUST0044,ORD00124,1,2024-10-04
REV00034,PROD0232,CUST0044,ORD00126,2,2024-03-15
REV00035,PROD0002,CUST0046,ORD00130,5,2024-06-09
REV00036,PROD0190,CUST0047,ORD00132,3,2024-03-23
REV00037,PROD0004,CUST0049,ORD00138,5,2024-07-22
REV00038,PROD0145,CUST0052,ORD00146,3,2023-11-25
REV00039,PROD0082,CUST0054,ORD00149,5,2024-03-03
REV00040,PROD0016,CUST0055,ORD00150,1,2023-09-02
REV00041,PROD0160,CUST0058,ORD00152,3,2024-11-27
