customer_id,city,state,signup_date,account_status
CUST0059,Kano,Kano,6/12/2023,Active
CUST0060,Abuja,FCT,6/17/2024,Active
CUST0061,Lagos,Lagos,7/7/2024,Active
CUST0062,Lagos,Lagos,12/5/2023,Active
CUST0063,Lagos,Lagos,1/21/2023,Active
CUST0064,Abuja,FCT,3/5/2024,Active
CUST0065,Abuja,FCT,11/26/2024,Active
CUST0066,Port Harcourt,Rivers,8/29/2024,Active
CUST0067,Lagos,Lagos,1/24/2024,Active
CUST0068,Lagos,Lagos,9/16/2023,Active
CUST0069,Lagos,Lagos,10/29/2024,Inactive
CUST0070,Ibadan,Oyo,11/16/2024,Active
CUST0071,Abuja,FCT,4/28/2023,Active
CUST0072,Ibadan,Oyo,1/20/2024,Active
CUST0073,Lagos,Lagos,12/1/2024,Active
CUST0074,Port Harcourt,Rivers,3/12/2023,Active
CUST0075,Lagos,Lagos,4/15/2024,Active
CUST0076,Lagos,Lagos,5/10/2024,Active
CUST0077,Kano,Kano,4/6/2024,Active
CUST0078,Kano,Kano,7/6/2023,Active
CUST0079,Port Harcourt,Rivers,7/23/2024,Inactive
CUST0080,Lagos,Lagos,5/2/2024,Active
CUST0081,Abuja,FCT,11/10/2023,Active
CUST0082,Abuja,FCT,12/27/2023,Active
CUST0083,Lagos,Lagos,7/2/2024,Active
CUST0084,Lagos,Lagos,6/21/2024,Active
CUST0085,Port Harcourt,Rivers,6/30/2024,Active
CUST0086,Ibadan,Oyo,5/17/2024,Active
CUST0087,Kano,Kano,9/16/2023,Active
CUST0088,Lagos,Lagos,2/24/2023,Active
CUST0089,Ibadan,Oyo,9/2/2024,Active
CUST0090,Port Harcourt,Rivers,3/15/2024,Active
CUST0091,Lagos,Lagos,9/28/2023,Active
CUST0092,Lagos,Lagos,8/31/2024,Active
CUST0093,Lagos,Lagos,8/28/2023,Active
CUST0094,Kano,Kano,6/2/2023,Active
CUST0095,Lagos,Lagos,10/23/2023,Active
CUST0096,Kano,Kano,3/24/2024,Active
CUST0097,Ibadan,Oyo,11/21/2024,Active
CUST0098,Ibadan,Oyo,4/26/2024,Active
CUST0099,Ibadan,Oyo,4/4/2023,Active
CUST0100,Lagos,Lagos,5/22/2024,Active
CUST0101,Port Harcourt,Rivers,4/29/2023,Active
CUST0102,Ibadan,Oyo,2/25/2023,Active
CUST0103,Kano,Kano,5/15/2023,Active
CUST0104,Ibadan,Oyo,9/3/2023,Active
CUST0105,Kano,Kano,4/27/2023,Active
CUST0106,Kano,Kano,10/7/2023,Active
CUST0107,Ibadan,Oyo,9/5/2024,Active
CUST0108,Ibadan,Oyo,1/3/2023,Active
CUST0109,Port Harcourt,Rivers,12/20/2023,Active
CUST0110,Abuja,FCT,8/8/2024,Active
CUST0111,Lagos,Lagos,11/10/2024,Active
CUST0112,Ibadan,Oyo,4/13/2023,Active
CUST0113,Lagos,Lagos,11/1/2024,Active
CUST0114,Abuja,FCT,12/3/2023,Active
CUST0115,Ibadan,Oyo,8/29/2023,Active
CUST0116,Ibadan,Oyo,4/13/2023,Active
CUST0117,Ibadan,Oyo,3/17/2024,Active
CUST0118,Kano,Kano,1/27/2024,Active
CUST0119,Abuja,FCT,9/19/2023,Active
CUST0120,Ibadan,Oyo,8/24/2024,Active
CUST0121,Kano,Kano,4/20/2023,Active
CUST0122,Kano,Kano,10/9/2023,Inactive
CUST0123,Ibadan,Oyo,8/24/2023,Active
CUST0124,Lagos,Lagos,11/6/2024,Active
CUST0125,Kano,Kano,1/9/2024,Active
CUST0126,Ibadan,Oyo,1/10/2024,Active
CUST0127,Port Harcourt,Rivers,12/13/2023,Active
CUST0128,Ibadan,Oyo,2/11/2024,Active
CUST0129,Lagos,Lagos,11/19/2024,Active
CUST0130,Kano,Kano,9/26/2024,Active
CUST0131,Ibadan,Oyo,11/6/2023,Active
CUST0132,Lagos,Lagos,7/4/2024,Active
CUST0133,Abuja,FCT,2/29/2024,Active
CUST0134,Kano,Kano,8/30/2023,Active
CUST0135,Ibadan,Oyo,2/12/2024,Active
CUST0136,Ibadan,Oyo,9/3/2024,Active
CUST0137,Port Harcourt,Rivers,7/21/2024,Active
CUST0138,Port Harcourt,Rivers,1/3/2023,Active
CUST0139,Ibadan,Oyo,1/27/2023,Active
CUST0140,Port Harcourt,Rivers,5/10/2023,Active
CUST0141,Lagos,Lagos,4/22/2023,Active
CUST0142,Ibadan,Oyo,3/4/2023,Active
CUST0143,Abuja,FCT,3/24/2023,Active
CUST0144,Lagos,Lagos,1/26/2024,Active
CUST0145,Lagos,Lagos,11/1/2024,Active
CUST0146,Port Harcourt,Rivers,4/9/2024,Active
CUST0147,Lagos,Lagos,4/30/2024,Inactive
CUST0148,Lagos,Lagos,7/29/2024,Active
CUST0149,Lagos,Lagos,10/22/2023,Active
CUST0150,Lagos,Lagos,4/21/2023,Active
CUST0151,Abuja,FCT,7/28/2024,Active
CUST0152,Kano,Kano,11/13/2023,Active
CUST0154,Port Harcourt,Rivers,11/16/2023,Active
CUST0155,Kano,Kano,11/21/2024,Active
CUST0156,Kano,Kano,6/8/2024,Active
CUST0157,Lagos,Lagos,8/14/2023,Active
CUST0158,Lagos,Lagos,9/19/2023,Active
CUST0159,Lagos,Lagos,8/24/2023,Active
CUST0160,Port Harcourt,Rivers,4/15/2024,Active
CUST0161,Kano,Kano,2/19/2024,Inactive
CUST0162,Lagos,Lagos,3/23/2024,Active
CUST0163,Abuja,FCT,12/14/2023,Active
CUST0164,Lagos,Lagos,12/24/2023,Active
CUST0165,Port Harcourt,Rivers,6/6/2023,Active
CUST0166,Lagos,Lagos,4/4/2024,Active
CUST0167,Kano,Kano,3/26/2024,Inactive
CUST0168,Kano,Kano,11/14/2023,Active
CUST0169,Lagos,Lagos,4/3/2023,Active
CUST0170,Abuja,FCT,4/5/2024,Active
CUST0171,Lagos,Lagos,12/18/2023,Active
CUST0172,Abuja,FCT,6/20/2024,Active
CUST0173,Abuja,FCT,9/4/2024,Inactive
CUST0174,Lagos,Lagos,11/3/2024,Active
CUST0175,Ibadan,Oyo,11/14/2023,Active
CUST0176,Lagos,Lagos,12/3/2023,Active
CUST0177,Port Harcourt,Rivers,1/6/2024,Inactive
CUST0178,Lagos,Lagos,5/21/2023,Active
CUST0179,Port Harcourt,Rivers,6/23/2024,Inactive
CUST0180,Ibadan,Oyo,10/1/2024,Active
CUST0181,Port Harcourt,Rivers,3/30/2024,Active
CUST0182,Lagos,Lagos,7/18/2023,Active
CUST0183,Ibadan,Oyo,6/15/2023,Active
CUST0184,Ibadan,Oyo,6/12/2024,Active
CUST0185,Lagos,Lagos,3/23/2024,Active
CUST0186,Port Harcourt,Rivers,5/29/2024,Active
CUST0187,Ibadan,Oyo,10/27/2024,Active
CUST0188,Lagos,Lagos,4/25/2024,Active
CUST0189,Ibadan,Oyo,9/15/2024,Active
CUST0190,Port Harcourt,Rivers,9/29/2024,Active
CUST0191,Port Harcourt,Rivers,9/5/2023,Active
CUST0192,Abuja,FCT,11/15/2024,Active
CUST0193,Lagos,Lagos,1/21/2023,Active
CUST0194,Lagos,Lagos,3/11/2023,Active
CUST0195,Kano,Kano,12/27/2023,Active
CUST0196,Port Harcourt,Rivers,5/19/2023,Inactive
CUST0197,Lagos,Lagos,11/14/2023,Active
CUST0198,Abuja,FCT,11/2/2024,Active
