item_id,order_id,product_id,quantity,unit_price,line_total
1,ORD00001,PROD0160,2,12278.28,24556.56
2,ORD00001,PROD0085,4,89243.32,356973.28
3,ORD00001,PROD0102,2,45021.16,90042.32
4,ORD00002,PROD0247,1,5416.29,5416.29
5,ORD00003,PROD0247,4,5416.29,21665.16
6,ORD00003,PROD0011,1,314229.61,314229.61
7,ORD00003,PROD0196,3,2511.26,7533.78
8,ORD00004,PROD0193,1,9954.82,9954.82
9,ORD00004,PROD0247,3,5416.29,16248.87
10,ORD00005,PROD0257,3,2248.73,6746.19
11,ORD00006,PROD0037,5,266180.98,1330904.90
12,ORD00006,PROD0210,2,14712.50,29425.00
13,ORD00006,PROD0020,2,293010.61,586021.22
14,ORD00006,PROD0064,4,34644.88,138579.52
15,ORD00006,PROD0198,3,57432.47,172297.41
16,ORD00007,PROD0189,4,96833.78,387335.12
17,ORD00007,PROD0030,4,253935.11,1015740.44
18,ORD00008,PROD0015,3,222324.51,666973.53
19,ORD00008,PROD0076,5,27116.85,135584.25
20,ORD00009,PROD0007,4,290642.30,1162569.20
21,ORD00009,PROD0060,4,10877.79,43511.16
22,ORD00009,PROD0048,5,10843.12,54215.60
23,ORD00010,PROD0130,5,1182.88,5914.40
24,ORD00010,PROD0155,4,17522.15,70088.60
25,ORD00010,PROD0257,5,2248.73,11243.65
26,ORD00011,PROD0177,3,102403.06,307209.18
27,ORD00011,PROD0074,2,13460.87,26921.74
28,ORD00012,PROD0036,4,78738.41,314953.64
29,ORD00013,PROD0069,2,39168.98,78337.96
30,ORD00014,PROD0031,2,290316.23,580632.46
31,ORD00015,PROD0086,4,49202.47,196809.88
32,ORD00015,PROD0041,1,14461.31,14461.31
33,ORD00015,PROD0151,3,24271.64,72814.92
34,ORD00015,PROD0044,1,32574.27,32574.27
35,ORD00016,PROD0137,1,2019.05,2019.05
36,ORD00017,PROD0267,3,6230.11,18690.33
37,ORD00018,PROD0185,5,112356.62,561783.10
38,ORD00018,PROD0205,1,,
39,ORD00018,PROD0194,3,24802.59,74407.77
40,ORD00019,PROD0072,5,43142.24,215711.20
41,ORD00019,PROD0014,3,289145.53,867436.59
42,ORD00019,PROD0063,2,35488.70,70977.40
43,ORD00020,PROD0165,1,22136.37,22136.37
44,ORD00021,PROD0120,4,35341.43,141365.72
45,ORD00021,PROD0249,5,774.24,3871.20
46,ORD00022,PROD0052,5,23501.69,117508.45
47,ORD00022,PROD0198,5,57432.47,287162.35
48,ORD00022,PROD0151,5,24271.64,121358.20
49,ORD00022,PROD0100,1,110269.71,110269.71
50,ORD00022,PROD0074,2,13460.87,26921.74
51,ORD00023,PROD0240,5,10219.29,51096.45
52,ORD00023,PROD0087,2,12717.02,25434.04
53,ORD00023,PROD0229,2,4112.45,8224.90
54,ORD00023,PROD0060,2,10877.79,21755.58
55,ORD00023,PROD0247,2,5416.29,10832.58
56,ORD00024,PROD0113,1,145706.19,145706.19
57,ORD00024,PROD0132,2,23990.67,47981.34
58,ORD00024,PROD0244,5,1664.99,8324.95
59,ORD00025,PROD0034,5,272513.12,1362565.60
60,ORD00025,PROD0176,4,30789.84,123159.36
61,ORD00025,PROD0194,2,24802.59,49605.18
62,ORD00025,PROD0196,2,2511.26,5022.52
63,ORD00026,PROD0060,4,10877.79,43511.16
64,ORD00026,PROD0189,5,96833.78,484168.90
65,ORD00026,PROD0066,1,36291.81,36291.81
66,ORD00026,PROD0161,3,25829.99,77489.97
67,ORD00027,PROD0065,1,30524.10,30524.10
68,ORD00027,PROD0267,4,6230.11,24920.44
69,ORD00027,PROD0114,1,7586.49,7586.49
70,ORD00028,PROD0075,5,5182.19,25910.95
71,ORD00028,PROD0018,3,120439.60,361318.80
72,ORD00029,PROD0193,3,9954.82,29864.46
73,ORD00029,PROD0031,2,290316.23,580632.46
74,ORD00030,PROD0027,4,26206.57,104826.28
75,ORD00030,PROD0092,3,140982.24,422946.72
76,ORD00030,PROD0250,2,4620.81,9241.62
77,ORD00031,PROD0271,3,1989.71,5969.13
78,ORD00032,PROD0028,2,316366.34,632732.68
79,ORD00032,PROD0156,5,21374.21,106871.05
80,ORD00032,PROD0235,2,1609.74,3219.48
81,ORD00033,PROD0053,2,43609.38,87218.76
82,ORD00034,PROD0243,2,10094.25,20188.50
83,ORD00035,PROD0077,2,20510.26,41020.52
84,ORD00035,PROD0207,1,11561.20,11561.20
