order_id,customer_id,seller_id,order_date,delivery_date,order_status,total_amount
ORD00001,CUST0002,SELL055,2023-09-27,,Cancelled,471572.16
ORD00002,CUST0002,SELL026,2024-09-10,2024-09-23,Delivered,5416.29
ORD00003,CUST0003,SELL056,2024-09-07,2024-09-12,Delivered,343428.55
ORD00004,CUST0003,SELL040,2023-12-10,2023-12-14,Delivered,26203.69
ORD00005,CUST0003,SELL001,2023-11-19,,Shipped,6746.19
ORD00006,CUST0004,SELL083,2024-06-28,2024-07-01,Delivered,2257228.05
ORD00007,CUST0004,SELL063,2024-06-15,,Cancelled,1403075.56
ORD00008,CUST0004,SELL047,2024-01-06,,Shipped,802557.78
ORD00009,CUST0004,SELL085,2024-04-28,2024-05-03,Delivered,1260295.96
ORD00010,CUST0004,SELL022,2024-03-25,,Shipped,87246.65
ORD00011,CUST0004,SELL014,2024-12-26,,Processing,334130.92
ORD00012,CUST0004,SELL063,2024-05-25,2024-05-27,Delivered,314953.64
ORD00013,CUST0004,SELL048,2024-12-29,2024-12-31,Delivered,78337.96
ORD00014,CUST0004,SELL028,2024-02-14,2024-02-21,Delivered,580632.46
ORD00015,CUST0004,SELL014,2024-07-16,2024-07-21,Delivered,316660.38
ORD00016,CUST0004,SELL013,2024-08-20,2024-08-27,Delivered,2019.05
ORD00017,CUST0004,SELL001,2024-01-10,2024-01-15,Delivered,18690.33
ORD00018,CUST0005,SELL041,2024-04-18,2024-04-21,Delivered,
ORD00019,CUST0005,SELL052,2023-10-30,2023-11-05,Delivered,1154125.19
ORD00020,CUST0006,SELL085,2024-04-22,,Cancelled,22136.37
ORD00021,CUST0006,SELL042,2024-12-31,,Processing,145236.92
ORD00022,CUST0006,SELL061,2024-12-15,,Shipped,663220.45
ORD00023,CUST0006,SELL071,2024-10-22,,Returned,117343.55
ORD00024,CUST0008,SELL050,2023-09-23,2023-09-26,Delivered,202012.48
ORD00025,CUST0008,SELL029,2024-10-20,,Returned,1540352.66
ORD00026,CUST0008,SELL076,2023-11-05,2023-11-11,Delivered,641461.84
ORD00027,CUST0008,SELL041,2024-11-15,2024-11-19,Delivered,63031.03
ORD00028,CUST0009,SELL019,2023-10-10,2023-10-14,Delivered,387229.75
ORD00029,CUST0010,SELL028,2024-09-08,2024-09-15,Delivered,610496.92
ORD00030,CUST0010,SELL029,2024-11-29,,Shipped,537014.62
ORD00031,CUST0011,SELL051,2024-11-27,,Shipped,5969.13
ORD00032,CUST0012,SELL042,2024-10-08,2024-10-12,Delivered,742823.21
ORD00033,CUST0012,SELL084,2024-06-27,2024-07-02,Delivered,87218.76
ORD00034,CUST0012,SELL008,2024-11-10,,Processing,20188.50
ORD00035,CUST0012,SELL076,2024-09-29,,Returned,52581.72
ORD00036,CUST0013,SELL084,2024-12-01,,Shipped,37673.59
ORD00037,CUST0014,SELL074,2024-11-11,2024-11-16,Delivered,418860.68
ORD00038,CUST0014,SELL090,2024-11-18,2024-11-25,Delivered,50969.15
ORD00039,CUST0014,SELL084,2024-11-30,,Cancelled,97418.23
ORD00040,CUST0014,SELL041,2024-08-19,2024-08-23,Delivered,181459.05
ORD00041,CUST0015,SELL065,2023-11-10,,Shipped,1924.96
ORD00042,CUST0015,SELL067,2023-09-28,2023-09-29,Delivered,386969.63
ORD00043,CUST0015,SELL027,2024-08-03,,Cancelled,308996.77
ORD00044,CUST0016,SELL028,2023-10-22,,Cancelled,211025.84
ORD00045,CUST0017,SELL033,2023-07-07,2023-07-08,Delivered,37115.57
ORD00046,CUST0017,SELL025,2024-10-30,,Returned,131662.12
ORD00047,CUST0018,SELL088,2023-12-24,2023-12-27,Delivered,397308.38
ORD00048,CUST0020,SELL049,2023-11-03,2023-11-08,Delivered,620263.73
ORD00049,CUST0021,SELL024,2023-12-08,2023-12-16,Delivered,8921.75
ORD00050,CUST0021,SELL034,2024-05-13,,Cancelled,16398.46
ORD00051,CUST0021,SELL007,2024-06-28,,Returned,160005.84
ORD00052,CUST0021,SELL030,2024-04-18,,Cancelled,47284.02
ORD00053,CUST0021,SELL010,2023-10-28,,Returned,1548248.63
ORD00054,CUST0021,SELL055,2023-09-17,,Shipped,130620.52
ORD00055,CUST0021,SELL052,2024-06-10,,Returned,54814.26
ORD00056,CUST0021,SELL088,2024-09-29,2024-10-09,Delivered,55822.24
ORD00057,CUST0022,SELL022,2024-10-15,2024-10-19,Delivered,44075.43
ORD00058,CUST0023,SELL038,2024-11-25,,Processing,72814.92
ORD00059,CUST0023,SELL083,2024-10-05,2024-10-11,Delivered,
ORD00060,CUST0023,SELL014,2024-09-07,2024-09-14,Delivered,719457.16
ORD00061,CUST0024,SELL020,2024-04-05,,Cancelled,128676.99
ORD00062,CUST0024,SELL069,2024-07-24,2024-07-28,Delivered,841181.08
ORD00063,CUST0026,SELL005,2024-09-18,,Returned,180084.64
ORD00064,CUST0028,SELL017,2024-10-26,,Processing,
ORD00065,CUST0028,SELL003,2024-09-02,2024-09-05,Delivered,568676.24
ORD00066,CUST0029,SELL002,2024-10-15,,Shipped,55153.50
ORD00067,CUST0029,SELL024,2024-05-27,,Returned,106784.91
ORD00068,CUST0029,SELL014,2024-10-15,2024-10-21,Delivered,59207.10
ORD00069,CUST0029,SELL019,2024-07-28,,Shipped,105355.32
ORD00070,CUST0029,SELL062,2024-07-06,2024-07-10,Delivered,14849.13
ORD00071,CUST0029,SELL054,2024-07-31,,Shipped,661180.78
ORD00072,CUST0030,SELL013,2023-12-22,2023-12-27,Delivered,28219.20
ORD00073,CUST0030,SELL017,2023-03-18,,Returned,87090.70
ORD00074,CUST0030,SELL050,2024-12-29,2025-01-03,Delivered,85134.06
ORD00075,CUST0030,SELL084,2023-04-16,,Cancelled,317998.91
ORD00076,CUST0030,SELL020,2023-09-27,,Cancelled,523152.84
ORD00077,CUST0031,SELL058,2024-09-01,,Shipped,9252.98
ORD00078,CUST0031,SELL022,2024-10-11,,Processing,52248.32
ORD00079,CUST0031,SELL051,2024-07-23,,Returned,18182.81
ORD00080,CUST0031,SELL052,2024-10-26,,Processing,237323.74
ORD00081,CUST0031,SELL066,2024-06-07,,Shipped,56202.28
ORD00082,CUST0031,SELL069,2024-07-05,2024-07-06,Delivered,68811.36
ORD00083,CUST0031,SELL007,2024-07-09,2024-07-16,Delivered,221349.29
ORD00084,CUST0031,SELL071,2024-09-07,2024-09-13,Delivered,156675.92
ORD00085,CUST0031,SELL002,2024-06-19,,Returned,1143598.64
ORD00086,CUST0031,SELL089,2024-12-21,,Cancelled,119953.35
ORD00087,CUST0032,SELL051,2023-12-24,,Cancelled,189891.12
ORD00088,CUST0032,SELL024,2023-10-28,2023-11-01,Delivered,317920.43
ORD00089,CUST0033,SELL055,2024-02-07,2024-02-11,Delivered,11561.20
ORD00090,CUST0033,SELL049,2023-08-11,,Cancelled,24240.82
ORD00091,CUST0033,SELL035,2023-09-12,2023-09-16,Delivered,290642.30
ORD00092,CUST0034,SELL073,2023-06-12,2023-06-16,Delivered,172118.10
ORD00093,CUST0034,SELL014,2023-07-21,2023-07-22,Delivered,150879.51
ORD00094,CUST0034,SELL037,2024-04-14,2024-04-20,Delivered,113579.08
ORD00095,CUST0034,SELL046,2023-11-01,2023-11-04,Delivered,105588.96
ORD00096,CUST0034,SELL078,2023-06-11,,Shipped,56377.85
ORD00097,CUST0034,SELL088,2024-05-25,2024-05-31,Delivered,15165.36
ORD00098,CUST0035,SELL010,2024-06-30,,Shipped,176298.80
ORD00099,CUST0035,SELL015,2024-08-25,,Processing,28718.29
ORD00100,CUST0036,SELL089,2024-11-21,2024-11-25,Delivered,1216584.61
ORD00101,CUST0036,SELL054,2024-11-25,2024-12-01,Delivered,
ORD00102,CUST0037,SELL008,2024-08-24,,Shipped,551588.14
ORD00103,CUST0037,SELL049,2024-08-25,2024-08-29,Delivered,541867.09
