product_id,product_name,category,unit_price,seller_id
PROD0270,Ruled Exercise Books Pack of 10 - v2,Books and Stationery,907.09,SELL038
PROD0271,Stapler Heavy Duty 24/6 - v2,Books and Stationery,1989.71,SELL005
PROD0272,Scientific Calculator Casio FX-991 - v2,Books and Stationery,11096.23,SELL057
PROD0273,A4 Printing Paper 80gsm 500 Sheets - v2,Books and Stationery,1784.35,SELL006
PROD0274,Spiral Notebook Hardcover A5 - v2,Books and Stationery,7846.95,SELL004
PROD0275,Highlighter Set 6 Colours - v2,Books and Stationery,10193.83,SELL032
PROD0001,Samsung Galaxy A54 Smartphone 128GB,Electronics,279610.57,SELL021
PROD0002,Tecno Camon 20 Pro Phone,Electronics,102447.74,SELL086
PROD0003,Infinix Hot 30 Play Smartphone,Electronics,49538.31,SELL078
PROD0004,HP Pavilion 15 Laptop Intel i5,Electronics,39811.79,SELL064
PROD0005,Lenovo IdeaPad 3 Laptop 8GB RAM,Electronics,85978.02,SELL003
PROD0054,Men's Polo Shirt Slim Fit,Fashion,31709.48,SELL005
PROD0055,Women's Ankara Maxi Skirt,Fashion,42567.03,SELL016
PROD0056,Kids' Rain Boots Waterproof,Fashion,6299.62,SELL038
PROD0057,Women's Handbag Leather Tote,Fashion,24240.82,SELL040
PROD0078,Men's Wristwatch Stainless Steel - v2,Fashion,18117.48,SELL013
PROD0079,Unisex Baseball Cap Adjustable - v2,Fashion,13912.80,SELL012
PROD0102,Blender Juicer 1.5L 600W - v2,Home and Garden,45021.16,SELL044
PROD0173,Exercise Bike Magnetic Resistance,Sports and Fitness,39177.27,SELL082
PROD0191,Gym Gloves Weightlifting Pair - v2,Sports and Fitness,44052.51,SELL065
PROD0192,Protein Shaker Bottle 700ml - v2,Sports and Fitness,94625.99,SELL013
PROD0222,Golden Morn Maize Cereal 1KG - v2,Food and Beverages,2802.33,SELL040
PROD0025,Lenovo IdeaPad 3 Laptop 8GB RAM - v2,Electronics,330590.39,SELL002
PROD0223,Indomie Noodles Instant 40 Pack - v2,Food and Beverages,7785.89,SELL036
PROD0224,Lipton Yellow Label Tea 100 Bags - v2,Food and Beverages,607.93,SELL009
PROD0225,Ribena Blackcurrant Drink 1L - v2,Food and Beverages,9270.30,SELL043
PROD0226,Organic Honey Raw Unfiltered 500g - v2,Food and Beverages,7172.97,SELL012
PROD0227,Groundnut Oil Refined 5 Litres - v2,Food and Beverages,9871.34,SELL045
PROD0228,Tomato Paste Canned 400g x6 - v2,Food and Beverages,6170.81,SELL023
PROD0229,Bournvita Malted Drink 900g - v2,Food and Beverages,4112.45,SELL056
PROD0230,Peak Whole Milk Powder 900g - v2,Food and Beverages,6077.64,SELL090
PROD0231,Cashew Nuts Premium 500g Pack - v2,Food and Beverages,6206.49,SELL031
PROD0232,Dates Medjool Premium 500g - v2,Food and Beverages,4469.76,SELL038
PROD0213,Garri White Fine 10KG Bag,Food and Beverages,2985.64,SELL023
PROD0214,Semovita Semolina 5KG Bag,Food and Beverages,12483.89,SELL004
PROD0215,Ofada Rice Local Premium 10KG,Food and Beverages,3385.48,SELL050
PROD0051,Men's Agbada Senator Suit Set,Fashion,33329.69,SELL021
PROD0235,Ofada Rice Local Premium 10KG - v2,Food and Beverages,1609.74,SELL042
PROD0236,Egusi Ground Melon Seeds 500g - v2,Food and Beverages,7038.57,SELL065
PROD0237,Crayfish Dried Ground 200g - v2,Food and Beverages,7201.43,SELL089
PROD0238,Suya Spice Mix Authentic 100g - v2,Food and Beverages,6026.76,SELL025
PROD0259,Sticky Notes Set 4 Colours 400PC,Books and Stationery,7869.35,SELL009
PROD0260,Atlas of Nigeria Schools Edition,Books and Stationery,5050.94,SELL064
PROD0261,Things Fall Apart Chinua Achebe - v2,Books and Stationery,8607.87,SELL073
PROD0262,Purple Hibiscus Chimamanda Adichie - v2,Books and Stationery,3172.89,SELL042
PROD0263,Half of a Yellow Sun Adichie - v2,Books and Stationery,8199.23,SELL089
PROD0264,WAEC Past Questions Math 2023 - v2,Books and Stationery,4118.15,SELL089
PROD0265,JAMB CBT Practice Questions - v2,Books and Stationery,11740.65,SELL009
PROD0266,Oxford Advanced Learner Dictionary - v2,Books and Stationery,408.26,SELL058
PROD0267,Accounting Principles Textbook - v2,Books and Stationery,6230.11,SELL065
PROD0268,Biology for Senior Secondary - v2,Books and Stationery,2944.75,SELL016
PROD0233,Garri White Fine 10KG Bag - v2,Food and Beverages,10621.64,SELL028
PROD0234,Semovita Semolina 5KG Bag - v2,Food and Beverages,6463.53,SELL016
PROD0034,Xiaomi Mi Band 7 Smartwatch - v2,Electronics,272513.12,SELL011
PROD0035,Garmin Forerunner 255 Watch - v2,Electronics,190414.55,SELL017
PROD0038,Logitech MX Master 3 Mouse - v2,Electronics,88262.22,SELL055
PROD0039,Mechanical Keyboard RGB Backlit - v2,Electronics,257535.23,SELL034
PROD0044,Men's Chinos Slim Fit Trouser,Fashion,32574.27,SELL032
PROD0046,Unisex Sneakers Nike Air Max,Fashion,5762.47,SELL053
PROD0239,Palm Oil Red Refined 5L - v2,Food and Beverages,1047.73,SELL018
PROD0026,JBL Bluetooth Speaker Portable - v2,Electronics,34248.48,SELL022
PROD0027,Anker PowerBank 20000mAh USB-C - v2,Electronics,26206.57,SELL085
PROD0218,Suya Spice Mix Authentic 100g,Food and Beverages,5238.20,SELL051
PROD0219,Palm Oil Red Refined 5L,Food and Beverages,14849.13,SELL054
PROD0220,Zobo Hibiscus Drink 1.5L,Food and Beverages,11275.57,SELL027
PROD0221,Milo Chocolate Drink 900g Tin - v2,Food and Beverages,13121.51,SELL086
PROD0040,Ring Doorbell Video Security Cam - v2,Electronics,47715.49,SELL016
PROD0042,Women's Lace Blouse Embroidered,Fashion,44258.35,SELL075
PROD0045,Women's High Waist Palazzo Pants,Fashion,15761.34,SELL047
PROD0047,Men's Leather Oxford Shoes,Fashion,5512.81,SELL017
PROD0048,Women's Block Heel Sandals,Fashion,10843.12,SELL087
PROD0049,Boys' School Uniform Set,Fashion,27088.42,SELL051
PROD0050,Girls' Party Dress Tulle,Fashion,26917.21,SELL057
PROD0103,Pressure Cooker 7 Litre Stainless - v2,Home and Garden,83304.08,SELL003
PROD0104,Standing Fan 18 inch 5-Speed - v2,Home and Garden,,SELL061
PROD0105,Wall Clock Modern Minimalist - v2,Home and Garden,162358.65,SELL053
PROD0106,Bed Sheet Set Queen Size Cotton - v2,Home and Garden,137481.28,SELL084
PROD0112,Indoor Plant Pot Set Ceramic - v2,Home and Garden,35280.59,SELL081
PROD0113,LED Desk Lamp USB Rechargeable - v2,Home and Garden,145706.19,SELL064
PROD0114,Microwave Oven 20L Digital - v2,Home and Garden,7586.49,SELL078
PROD0140,Beard Oil & Balm Combo Pack,Beauty and Personal Care,2847.84,SELL030
PROD0141,Shea Butter Moisturiser 500ml - v2,Beauty and Personal Care,11608.58,SELL055
PROD0142,African Black Soap Bar 200g - v2,Beauty and Personal Care,8820.60,SELL004
